run_id,distance_home_m,relative_altitude_m,planned_rtl_climb_m,route_bearing_sin,route_bearing_cos,battery_voltage_v,voltage_mean_v,voltage_min_v,voltage_std_v,ekf_wind_north_m_s,ekf_wind_east_m_s,ekf_wind_north_mean_m_s,ekf_wind_north_std_m_s,ekf_wind_east_mean_m_s,ekf_wind_east_std_m_s,rtl_charge_mah
pipeline-0001-run-001,385.74434528492174,73.38896179199219,0.0,-0.5534419595070267,0.8328877460120437,12.297918319702148,12.295998497009275,12.28391456604004,0.0039294701771148,-2.12,1.65,-1.9227,0.1355717891008302,1.5965,0.0338341543414342,1071.970964050293
pipeline-0002-run-001,942.909798716216,42.51430892944336,0.0,0.5994430261458258,-0.8004174275995838,12.30508041381836,12.303667678833008,12.294595718383787,0.0029936777859005,-0.64,-1.33,-0.7373999999999999,0.0663267668441632,-1.2914,0.0146301059463012,1304.0767944335937
pipeline-0003-run-001,674.250904705027,116.26238250732422,0.0,0.3613088340372571,0.9324462056583412,12.28330898284912,12.28188570022583,12.271687507629396,0.0029986849028015,-0.76,0.55,-0.7306999999999999,0.016688618876348,0.6133,0.0494177093762954,1544.5511108398437
pipeline-0004-run-001,1180.574216153191,80.35783386230469,0.0,-0.4557994187415676,-0.8900825185761425,12.300177574157717,12.29794734954834,12.28572940826416,0.0042670068036865,4.18,-0.7,4.019,0.1089173998955171,-0.8195,0.0916556053932327,2027.3917999267576
pipeline-0005-run-001,1494.7009213864078,50.46235275268555,0.0,0.9333754783572094,0.3589014020611378,12.27285385131836,12.271912641525269,12.26462745666504,0.0022281555673535,-0.62,1.64,-0.6636,0.0346560240073785,1.6361,0.0048774993593028,1958.1971130371091
pipeline-0006-run-001,1191.1505475716206,61.88053131103516,0.0,0.994185710555131,0.1076790273358245,12.300686836242676,12.29971724510193,12.292335510253906,0.0022333295603804,0.31,1.11,0.2862,0.0218988584177349,1.1819,0.043856470446218,1604.4671783447266
pipeline-0007-run-001,322.3123346333103,77.02912139892578,0.0,0.9540091677501762,0.2997774305190704,12.257649421691896,12.255596380233763,12.24227237701416,0.0041663403074673,-3.74,-1.49,-3.8244,0.0673694292687714,-1.4783,0.0161898116110101,1097.440753173828
pipeline-0009-run-001,1418.180617045691,69.44835662841797,0.0,-0.6549277546204431,-0.7556914954052512,12.223097801208496,12.22034610748291,12.20476245880127,0.0053871674358896,-0.46,5.56,-0.418,0.0292916370317536,5.6589,0.0580671163396289,2646.578568892045
pipeline-0010-run-001,295.86493789902613,110.33216094970705,0.0,0.3099952595320728,0.9507381022487964,12.235773086547852,12.234823551177978,12.223243713378906,0.0030875502469911,-0.21,0.01,-0.2966,0.0564131190415846,0.0435,0.0304753999153415,1315.724708557129
pipeline-0011-run-001,727.7511016599168,99.28797149658205,0.0,0.2208003924904073,-0.975319017899314,12.294881820678713,12.293927917480469,12.28594207763672,0.0023269040815703,-1.08,-0.83,-1.1337000000000002,0.0375674060855949,-0.856,0.0275317997958724,1425.988812255859
